                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.70219,                0.34532,                0.82385,                 0.9195,                0.93478,                  0.963,                0.76912,                0.70155,                0.50994,                0.83944,               0.006535,               0.006535,               0.006535
                     37,                  0.704,                0.34631,                0.82509,                0.79685,                0.87402,                0.90168,                 0.7417,                 0.7294,                0.70124,                0.86956,               0.006436,               0.006436,               0.006436
                     38,                0.67631,                0.34004,                0.81879,                0.93865,                0.90761,                0.97196,                0.81229,                0.77083,                0.51285,                0.86649,               0.006337,               0.006337,               0.006337
                     39,                0.67773,                0.33527,                0.81416,                0.85716,                0.96739,                0.95008,                0.72204,                0.94765,                0.53199,                0.93398,               0.006238,               0.006238,               0.006238
                     40,                0.66645,                0.33835,                0.81464,                0.94497,                 0.9837,                 0.9847,                0.80977,                0.79173,                 0.5026,                0.87386,               0.006139,               0.006139,               0.006139
                     41,                0.66815,                0.33138,                0.80878,                0.50551,                0.90761,                 0.5495,                0.43503,                 0.7536,                0.93778,                0.87908,                0.00604,                0.00604,                0.00604
                     42,                0.68252,                0.33362,                0.82031,                0.72786,                0.89674,                0.80695,                0.64166,                0.75824,                0.69858,                0.90093,               0.005941,               0.005941,               0.005941
                     43,                0.65633,                0.33007,                0.81414,                0.95476,                0.88043,                0.95901,                0.81503,                0.62059,                0.67209,                0.82492,               0.005842,               0.005842,               0.005842
                     44,                0.66852,                 0.3315,                0.81562,                0.90493,                0.95109,                0.98045,                0.75622,                0.82475,                 0.7373,                0.93592,               0.005743,               0.005743,               0.005743
                     45,                0.66336,                0.33041,                0.81501,                0.64814,                0.86957,                0.68213,                0.55383,                0.77601,                0.96126,                0.86763,               0.005644,               0.005644,               0.005644
                     46,                0.65403,                0.32705,                0.81156,                0.75011,                0.88095,                0.88642,                0.76828,                0.62534,                 0.8549,                0.82035,               0.005545,               0.005545,               0.005545
                     47,                0.64321,                0.32214,                0.81556,                0.73413,                0.82537,                0.74813,                0.62368,                0.68193,                 1.3494,                0.84072,               0.005446,               0.005446,               0.005446
                     48,                 0.6343,                0.31616,                0.81639,                0.91654,                0.94022,                0.97794,                0.80872,                0.73695,                0.50385,                0.84539,               0.005347,               0.005347,               0.005347
                     49,                0.64385,                0.32029,                0.81913,                0.60742,                0.88587,                0.77724,                0.60529,                0.90695,                0.95573,                0.89538,               0.005248,               0.005248,               0.005248
                     50,                0.62931,                0.31681,                0.80907,                0.73048,                0.97283,                0.89213,                0.69294,                0.92214,                0.57394,                0.90834,               0.005149,               0.005149,               0.005149
                     51,                0.62289,                 0.3104,                 0.8128,                0.52331,                0.95652,                0.54519,                0.41906,                0.77456,                0.76277,                 0.8635,                0.00505,                0.00505,                0.00505
                     52,                0.63265,                0.31682,                0.80628,                0.87821,                0.93478,                0.95242,                0.74354,                0.82067,                  1.029,                 0.8657,               0.004951,               0.004951,               0.004951
                     53,                0.61284,                0.30491,                0.81115,                 0.8994,                0.92391,                0.96599,                0.79465,                0.74998,                0.69004,                0.84572,               0.004852,               0.004852,               0.004852
                     54,                 0.6131,                0.30805,                0.80913,                0.61355,                0.93188,                0.62293,                0.52216,                0.70364,                0.79309,                0.84389,               0.004753,               0.004753,               0.004753
                     55,                0.60089,                0.30072,                0.80532,                0.70725,                0.82065,                0.78792,                 0.6717,                0.68586,                 0.8337,                0.84446,               0.004654,               0.004654,               0.004654
                     56,                0.59828,                 0.3056,                0.80633,                 0.8353,                0.89674,                0.88206,                0.67325,                0.89786,                0.66183,                0.90362,               0.004555,               0.004555,               0.004555
                     57,                0.59008,                    inf,                0.79718,                0.63538,                0.79554,                0.63969,                0.51242,                0.76956,                 1.8191,                0.85991,               0.004456,               0.004456,               0.004456
                     58,                0.60089,                    inf,                0.80238,                0.87847,                0.86957,                0.92763,                0.78346,                0.68962,                 1.1746,                0.82561,               0.004357,               0.004357,               0.004357
                     59,                0.59811,                0.29728,                0.80655,                0.90113,                0.92935,                0.97296,                0.80212,                0.73398,                0.55369,                 0.8386,               0.004258,               0.004258,               0.004258
                     60,                0.59634,                0.30415,                0.80968,                 0.9654,                0.91304,                0.97038,                0.81703,                0.67502,                0.96773,                0.81518,               0.004159,               0.004159,               0.004159
                     61,                0.57574,                0.29053,                0.81034,                0.79708,                0.91797,                0.82662,                 0.6239,                0.89961,                0.70195,                 0.9075,                0.00406,                0.00406,                0.00406
                     62,                0.57906,                0.29437,                0.80486,                0.94054,                0.77367,                0.93689,                0.79119,                0.71949,                 1.8758,                0.82875,               0.003961,               0.003961,               0.003961
                     63,                0.58918,                0.29613,                0.80187,                0.92101,                0.89674,                0.96787,                0.73211,                0.83779,                0.71951,                0.86693,               0.003862,               0.003862,               0.003862
                     64,                0.57383,                0.29186,                0.79172,                0.64618,                  0.875,                0.65108,                0.51355,                0.82426,                 1.2448,                0.86228,               0.003763,               0.003763,               0.003763
                     65,                0.57288,                0.28734,                0.80254,                0.70926,                0.92809,                0.88419,                0.69092,                 0.8612,                0.71546,                0.86929,               0.003664,               0.003664,               0.003664
                     66,                0.56701,                0.28484,                0.80554,                0.86849,                0.93478,                0.90883,                0.73907,                0.71372,                0.53917,                 0.8305,               0.003565,               0.003565,               0.003565
                     67,                0.55979,                0.27871,                0.79972,                0.91109,                  0.875,                0.94426,                0.77387,                0.75203,                0.68308,                0.83604,               0.003466,               0.003466,               0.003466
                     68,                 0.5724,                0.28712,                0.80009,                0.99898,                      1,                  0.995,                  0.882,                0.59453,                0.44998,                 0.7981,               0.003367,               0.003367,               0.003367
